TweetID,Source,Target
1335397214605086723,RahayuSaraswati,elpanjullo
1335397214605086723,RahayuSaraswati,aimer_riska
1335397214605086723,RahayuSaraswati,HusinShihab
1335397214605086723,RahayuSaraswati,seeksixsuck
1335213030469091330,hnaufa21,KAPAL_Perempuan
1335204040360128515,thebodyshopindo,encing_ncunk
1335204040360128515,thebodyshopindo,nirmalahfz
1335204040360128515,thebodyshopindo,WendraRona
1335204040360128515,thebodyshopindo,hmmoghkey
1335204040360128515,thebodyshopindo,SwallowSandals
1335204040360128515,thebodyshopindo,choconimss
1335204040360128515,thebodyshopindo,grrrlpwrrrr
1335204040360128515,thebodyshopindo,magdaleneid
1335204040360128515,thebodyshopindo,rubyroonLe
1335082216481644545,YayasanPulih,Liyaistikomah5
1335082216481644545,YayasanPulih,WPBergerak
1335082216481644545,YayasanPulih,parasitlajang
1335082216481644545,YayasanPulih,wahyuningseah
1335082216481644545,YayasanPulih,tomoriyamashita
1335082216481644545,YayasanPulih,akuluka
1335082216481644545,YayasanPulih,vantiani
1335082216481644545,YayasanPulih,itsohdelicate
1335048293928161280,SistersInDanger,tiramisoyeppeo
1335048293928161280,SistersInDanger,VindhTR
1334846262206627840,msynrn_,apocalypsxx
1334846262206627840,msynrn_,vegietableee
1334820872700395521,YayasanPulih,_eleutheromanic
1334820872700395521,YayasanPulih,BiruSyailendra
1334820872700395521,YayasanPulih,Liyaistikomah5
1334820872700395521,YayasanPulih,achid_bcd
1334820872700395521,YayasanPulih,clairdelune_09
1334820872700395521,YayasanPulih,pojanzmn
1334820872700395521,YayasanPulih,cryininberries
1334820872700395521,YayasanPulih,adindadhafanona
1334820872700395521,YayasanPulih,SistersInDanger
1334820872700395521,YayasanPulih,_____freesia
1334820872700395521,YayasanPulih,lailatulkmr
1334820872700395521,YayasanPulih,nrlf4t1h4h
1334820872700395521,YayasanPulih,itsmezizuna
1334820872700395521,YayasanPulih,ericcan55408697
1334801615396564992,CakraWikara,DirgaArdiansa
1334801615396564992,CakraWikara,mochiepayss
1334801615396564992,CakraWikara,womencoalition
1334801615396564992,CakraWikara,jrdanricky
1334791165149814785,KAPAL_Perempuan,misikapal
1334721870004776961,YayasanPulih,efi_sh
1334721870004776961,YayasanPulih,kikilitik__
1334721870004776961,YayasanPulih,SafiraLandi
1334721870004776961,YayasanPulih,vie_kusuma
1334721870004776961,YayasanPulih,travellinckx
1334721870004776961,YayasanPulih,laudiaaaaaaa
1334721870004776961,YayasanPulih,fufuuu19
1334721870004776961,YayasanPulih,magdaleneid
1334721870004776961,YayasanPulih,futourhearts
1334677381366181888,LenteraID,mochiepayss
1334677381366181888,LenteraID,skimydama
1334677381366181888,LenteraID,Rastraa
1334677381366181888,LenteraID,_fleetingsun
1334677381366181888,LenteraID,anselmallofiks
1334677381366181888,LenteraID,andianisharfina
1334677381366181888,LenteraID,rd_mayangsari
1334677381366181888,LenteraID,_carolineputri
1334470395227820033,YayasanPulih,thebodyshopindo
1334470395227820033,YayasanPulih,Nfdo122
1334470395227820033,YayasanPulih,josephacaroline
1334470395227820033,YayasanPulih,greenparsleyy
1334470395227820033,YayasanPulih,gatauT_T
1334470395227820033,YayasanPulih,magdaleneid
1334468971945291776,margianta,candramertha
1334427860832948224,filsebat,antropolohis
1334351206454419456,CakraWikara,womencoalition
1334092654997512192,YayasanPulih,KNRNIsntHere
1334092654997512192,YayasanPulih,yayaoppaya
1334092654997512192,YayasanPulih,mbaklobak
1334092654997512192,YayasanPulih,magdaleneid
1334077285243125762,thebodyshopindo,soybellaapr
1334033329402777600,remotivi,rinaiaksara
1334033329402777600,remotivi,Vnaa_AAF
1334033329402777600,remotivi,wbpratama
1334033329402777600,remotivi,Percyathena
1334033329402777600,remotivi,sukasukasajelah
1334033329402777600,remotivi,emrenorr
1334033329402777600,remotivi,MartyMuh
1334033329402777600,remotivi,romanfootball
1334033329402777600,remotivi,wendybiliam1
1334033329402777600,remotivi,anaphaIise
1334033329402777600,remotivi,RarAnjani12
1333969138759335936,magdaleneid,adri_artwork
1333954037755113472,magdaleneid,Andhys_1212
